MachineSetting,EnergyConsumption,Temperature,Pressure,Humidity,Vibration,Load,Speed,Power,Torque,Voltage,Current
17.49080237694725,1.014458435694716,36.8920704760379,3.549720143935034,28.916184334970595,1.4877227285039991,45.18011393445568,850.8699260483503,75.68226433415404,446.9679468839599,318.7228617064386,0.3348939103875681
29.01428612819832,1.447317721766023,25.960668924863466,6.269168806473928,62.58037931527545,1.1171379247751272,36.38231786795807,500.27386759509204,222.17776637773457,327.99521286964847,227.30349425699563,78.68368876674846
24.6398788362281,0.011530698353800606,32.49960616579584,8.109490942215752,85.08092083159711,0.5097147843402022,79.24222834616751,1002.8546197641167,244.0140689086994,409.4669020624932,235.99047095187447,5.414600012413972
21.973169683940732,0.1821242312533672,22.66976320418756,5.190552930809295,94.56072762732262,4.012359946311969,12.612371296286042,984.633373760104,272.4305683960608,61.313166587271205,299.434723662117,32.77895331123811
13.12037280884873,0.6241493496292093,48.209428492661075,3.4769255779995802,22.71767942603412,3.604102746493364,81.39762716883804,1250.87243467224,286.4864602229468,265.1601266069246,257.42164886473796,69.27974767409488
13.119890406724053,0.5911680294338022,21.778856246552625,7.838800951800671,15.114281744818236,1.103620205272327,44.429192297042796,849.1095576773789,54.987015233331974,417.7844849222473,272.9249004846581,79.69760909107069
11.16167224336399,1.6567907388897969,44.664772906460115,8.628516483362503,86.37670998239047,1.8787080491664077,58.81408287845501,655.8659541421532,218.6679546959474,282.16584682158475,343.27964966656174,41.60747485047165
27.323522915498703,0.17032549225747684,37.04968177970098,3.2215654192307785,11.751787151262139,4.276255330743867,36.1465602291218,1154.0148471575117,140.6629050656635,137.48696801236886,220.1058422239144,28.108372852119178
22.022300234864176,-0.5980616924819491,73.66273296480279,3.0763460116648425,32.22681761568913,2.9113038875451798,27.72136856830521,1480.5610662401064,131.20610239258178,97.7531957820304,310.7444716225037,71.43438364065908
24.16145155592091,0.3581532816511885,71.90980296976255,4.0783831692106975,26.0383545466483,3.4834461466367106,40.581330422094226,1449.2580122993131,74.81279257821504,276.9727081440658,358.748048891096,5.104097417212472
10.411689885916049,1.6714563575232988,54.98779723539758,1.6220383947777393,69.93328654901306,2.4198648912720193,82.66750161332429,871.8547922430506,223.42950529911124,97.22247982972316,248.597219192743,60.25561805599453
29.398197043239886,1.74221624955354,77.70282851791842,9.579884021108965,86.8220864583143,4.151585235220649,33.39695977168978,743.5015661858006,148.31783558652148,490.0118081174766,255.3705584924557,48.83924993058459
26.648852816008436,1.747531718499688,48.37461652759625,7.813031009498008,23.329051807690536,3.1067440689803973,42.694563293649146,980.2101697820392,221.16426474836237,461.6178995616762,311.72690827903034,38.53088976627935
14.246782213565524,0.7011469435103813,32.12830102299588,1.5561162791935543,18.67983996445726,1.464281341585683,59.519269379761894,727.1099023001332,116.94372223929166,407.76454056643456,371.55821084811015,1.8297034263527245
13.636499344142013,1.0782292232622561,23.310039360194132,9.543429760997821,67.41672383819389,0.3259903924822044,80.06525270115951,827.0063026113551,256.4899568714101,12.948313584840388,335.86027366002475,64.6653918790187
13.668090197068675,0.2843161201730717,23.65338259624327,5.454799101083723,72.49725629698973,3.94070851467746,33.77556623069754,533.9480014148564,150.30783516259265,219.04652889571292,224.344214749841,41.14347160056964
